place,place_type,county,allocated,curr_released,pct_released
City of Austin,City/Town,Travis,170811897.2,170811897.2,1
Bexar County,County,Bexar,79626415,79626415,1
Collin County,County,Collin,171453156.4,171453156.4,1
Dallas County,County,Dallas,239952372.7,239952372.7,1
City of Dallas,City/Town,Dallas,234443127.6,234443127.6,1
Denton County,County,Denton,147733721.6,147733721.6,1
El Paso County,County,El Paso,27484280.4,27484280.4,1
City of El Paso,City/Town,El Paso,118956278.9,118956278.9,1
Fort Bend County,County,Fort Bend,134262393.5,134262393.5,1
City of Fort Worth,City/Town,Tarrant,158715568.3,158715568.3,1
Harris County,County,Harris,425942656.1,425942656.1,1
Hidalgo County,County,Hidalgo,151582672.5,151582672.5,1
City of Houston,City/Town,Harris,404868873.4,404868873.4,1
Montgomery County,County,Montgomery,104983285.4,104983285.4,1
City of San Antonio,City/Town,Bexar,269983717,269983717,1
Tarrant County,County,Tarrant,209816856.5,209816856.5,1
Travis County,County,Travis,61147507.2,61147507.2,1
Williamson County,County,Williamson,93382340.1,93382340.1,1
State of Texas,City/Town,Texas State,8038314290.9,8038314290.9,1
Anderson County,County,Anderson,1997490,399498,0.2
City of Elkhart,City/Town,Anderson,72270,14454,0.2
City of Frankston,City/Town,Anderson,67155,13431,0.2
City of Palestine,City/Town,Anderson,1038510,207702,0.2
Andrews County,County,Andrews,222860,44572,0.2
City of Andrews,City/Town,Andrews,805915,161183,0.2
Angelina County,County,Angelina,1954260,390852,0.2
City of Burke,City/Town,Angelina,42020,8404,0.2
City of Diboll,City/Town,Angelina,295790,59158,0.2
City of Hudson,City/Town,Angelina,277805,55561,0.2
City of Huntington,City/Town,Angelina,121055,24211,0.2
City of Lufkin,City/Town,Angelina,2037585,407517,0.2
City of Zavalla,City/Town,Angelina,40810,8162,0.2
Aransas County,County,Aransas,611270,122254,0.2
City of Aransas Pass,City/Town,Aransas,40315,8063,0.2
City of Fulton,City/Town,Aransas,78045,15609,0.2
City of Rockport,City/Town,Aransas,563420,112684,0.2
Archer County,County,Archer,145695,29139,0.2
City of Archer City,City/Town,Archer,106095,21219,0.2
City of Holliday,City/Town,Archer,98560,19712,0.2
City of Lakeside City (Archer),City/Town,Archer,60170,12034,0.2
City of Megargel,City/Town,Archer,10890,2178,0.2
City of Scotland,City/Town,Archer,28765,5753,0.2
City of Windthorst,City/Town,Archer,20240,4048,0.2
Armstrong County,County,Armstrong,35915,7183,0.2
City of Claude,City/Town,Armstrong,67870,13574,0.2
City of Claude,City/Town,Armstrong,67870,13574,0.2
Atascosa County,County,Atascosa,1390400,278080,0.2
City of Charlotte,City/Town,Atascosa,101310,20262,0.2
City of Christine,City/Town,Atascosa,23925,4785,0.2
City of Jourdanton,City/Town,Atascosa,249260,49852,0.2
