state,fips,county,date,active
Texas,48,Anderson,2020-04-07,1
Texas,48,Anderson,2020-04-08,1
Texas,48,Anderson,2020-04-09,2
Texas,48,Anderson,2020-04-10,2
Texas,48,Anderson,2020-04-11,3
Texas,48,Anderson,2020-04-12,3
Texas,48,Anderson,2020-04-13,3
Texas,48,Anderson,2020-04-14,3
Texas,48,Anderson,2020-04-15,3
Texas,48,Anderson,2020-04-16,5
Texas,48,Anderson,2020-04-17,5
Texas,48,Anderson,2020-04-18,5
Texas,48,Anderson,2020-04-19,7
Texas,48,Anderson,2020-04-20,7
Texas,48,Anderson,2020-04-21,9
Texas,48,Anderson,2020-04-22,13
Texas,48,Anderson,2020-04-23,12
Texas,48,Anderson,2020-04-24,14
Texas,48,Anderson,2020-04-25,14
Texas,48,Anderson,2020-04-26,16
Texas,48,Anderson,2020-04-27,17
Texas,48,Anderson,2020-04-28,21
Texas,48,Anderson,2020-04-29,20
Texas,48,Anderson,2020-04-30,24
Texas,48,Anderson,2020-05-01,25
Texas,48,Anderson,2020-05-02,27
Texas,48,Anderson,2020-05-03,25
Texas,48,Anderson,2020-05-04,25
Texas,48,Anderson,2020-05-05,26
Texas,48,Anderson,2020-05-06,27
Texas,48,Anderson,2020-05-07,29
Texas,48,Anderson,2020-05-08,28
Texas,48,Anderson,2020-05-09,29
Texas,48,Anderson,2020-05-10,26
Texas,48,Anderson,2020-05-11,25
Texas,48,Anderson,2020-05-12,31
Texas,48,Anderson,2020-05-13,31
Texas,48,Anderson,2020-05-14,27
Texas,48,Anderson,2020-05-15,27
Texas,48,Anderson,2020-05-16,28
Texas,48,Anderson,2020-05-17,28
Texas,48,Anderson,2020-05-18,27
Texas,48,Anderson,2020-05-19,32
Texas,48,Anderson,2020-05-20,29
Texas,48,Anderson,2020-05-21,29
Texas,48,Anderson,2020-05-22,30
Texas,48,Anderson,2020-05-23,31
Texas,48,Anderson,2020-05-24,30
Texas,48,Anderson,2020-05-25,30
Texas,48,Anderson,2020-05-26,23
Texas,48,Anderson,2020-05-27,23
Texas,48,Anderson,2020-05-28,22
Texas,48,Anderson,2020-05-29,27
Texas,48,Anderson,2020-05-30,24
Texas,48,Anderson,2020-05-31,24
Texas,48,Anderson,2020-06-01,23
Texas,48,Anderson,2020-06-02,22
Texas,48,Anderson,2020-06-03,23
