state,fips,report_type,demographic_type,group,count,pct
Texas,48,cases,ages,<1 year,158,0.00317958625130806
Texas,48,cases,ages,1-9 years,759,0.0152740883844482
Texas,48,cases,ages,10-19 years,2001,0.0402680511953634
Texas,48,cases,ages,20-29 years,9560,0.192385092167753
Texas,48,cases,ages,30-39 years,10517,0.211643725348145
Texas,48,cases,ages,40-49 years,9527,0.19172100136843
Texas,48,cases,ages,50-59 years,8354,0.16811559204701
Texas,48,cases,ages,60-64 years,3128,0.0629477581904532
Texas,48,cases,ages,65-69 years,2176,0.0437897448281414
Texas,48,cases,ages,70-74 years,1284,0.0258391692827819
Texas,48,cases,ages,75-79 years,838,0.0168638815101022
Texas,48,cases,ages,80+ years,1368,0.0275295822265153
Texas,48,cases,ages,Pending DOB,22,4.42727199549223e-4
Texas,48,cases,gender,Female,16877,0.339632133945102
Texas,48,cases,gender,Male,31868,0.641310472510666
Texas,48,cases,gender,Unknown,947,0.0190573935442325
Texas,48,cases,race,Asian,767,0.0154350800933752
Texas,48,cases,race,Black,8079,0.162581502052644
Texas,48,cases,race,Hispanic,19802,0.398494727521533
Texas,48,cases,race,Other,223,0.00448764388633985
Texas,48,cases,race,White,14381,0.289402720759881
Texas,48,cases,race,Unknown,6440,0.129598325686227
Texas,48,fatalities,ages,<1 year,3,2.1433164249482e-4
Texas,48,fatalities,ages,1-9 years,6,4.28663284989641e-4
Texas,48,fatalities,ages,10-19 years,16,0.00114310209330571
Texas,48,fatalities,ages,20-29 years,93,0.00664428091733943
Texas,48,fatalities,ages,30-39 years,257,0.0183610773737229
Texas,48,fatalities,ages,40-49 years,766,0.0547260127170108
Texas,48,fatalities,ages,50-59 years,1680,0.120025719797099
Texas,48,fatalities,ages,60-64 years,1336,0.0954490247910267
Texas,48,fatalities,ages,65-69 years,1650,0.117882403372151
Texas,48,fatalities,ages,70-74 years,1824,0.130313638636851
Texas,48,fatalities,ages,75-79 years,1710,0.122169036222048
Texas,48,fatalities,ages,80+ years,4656,0.332642709151961
Texas,48,fatalities,ages,Unknown,0,0
Texas,48,fatalities,gender,Female,5820,0.415803386439951
Texas,48,fatalities,gender,Male,8177,0.584196613560049
Texas,48,fatalities,gender,Unknown,0,0
Texas,48,fatalities,race,Asian,273,0.0195041794670286
Texas,48,fatalities,race,Black,1596,0.114024433807244
Texas,48,fatalities,race,Hispanic,7814,0.558262484818175
Texas,48,fatalities,race,Other,78,0.00557262270486533
Texas,48,fatalities,race,White,4229,0.302136172036865
Texas,48,fatalities,race,Unknown,7,5.00107165821247e-4
