county,cases,fatalities
Anderson,1017,2
Andrews,56,0
Angelina,464,6
Aransas,12,0
Archer,5,0
Armstrong,3,0
Atascosa,85,2
Austin,60,0
Bailey,88,1
Bandera,16,0
Bastrop,407,6
Baylor,2,0
Bee,39,0
Bell,1077,12
Bexar,8452,104
Blanco,26,1
Borden,0,0
Bosque,10,0
Bowie,415,13
Brazoria,1986,20
Brazos,1493,27
Brewster,85,0
Briscoe,2,0
Brooks,3,0
Brown,68,10
Burleson,69,0
Burnet,115,3
Caldwell,297,1
Calhoun,69,3
Callahan,16,2
Cameron,1972,52
Camp,116,1
Carson,6,0
Cass,37,2
Castro,73,1
Chambers,198,2
Cherokee,93,2
Childress,8,0
Clay,5,0
Cochran,1,0
Coke,5,1
Coleman,3,0
Collin,2486,40
Collingsworth,5,0
Colorado,71,0
Comal,395,7
Comanche,14,1
Concho,5,0
Cooke,30,0
Coryell,327,2
Cottle,4,1
Crane,50,7
Crockett,5,0
Crosby,15,1
Culberson,3,0
Dallam,75,0
Dallas,18538,334
Dawson,45,1
DeWitt,47,1
Deaf Smith,284,16
Delta,5,0
Denton,2494,37
Dickens,2,0
Dimmit,9,0
Donley,27,0
Duval,9,0
Eastland,8,0
Ector,480,7
Edwards,2,0
El Paso,5217,126
Ellis,684,19
Erath,69,1
Falls,25,0
Fannin,82,7
Fayette,75,2
Fisher,2,1
Floyd,22,0
Foard,0,0
Fort Bend,3397,51
Franklin,39,0
Freestone,23,0
Frio,173,0
Gaines,15,0
Galveston,2415,40
Garza,11,0
Gillespie,33,0
Glasscock,5,0
Goliad,8,0
Gonzales,244,4
Gray,113,4
Grayson,550,5
Gregg,331,13
Grimes,338,2
Guadalupe,581,1
Hale,235,7
Hall,2,1
Hamilton,19,1
Hansford,27,2
Hardeman,4,0
Hardin,212,5
Harris,27017,353
Harrison,284,30
Hartley,21,2
Haskell,4,0
Hays,2275,5
Hemphill,6,0
Henderson,116,4
Hidalgo,2713,29
Hill,58,1
Hockley,36,1
Hood,45,4
Hopkins,53,0
Houston,159,0
Howard,34,1
Hudspeth,15,0
Hunt,364,6
Hutchinson,56,0
Irion,1,0
Jack,7,0
Jackson,39,1
Jasper,43,1
Jeff Davis,1,0
Jefferson,1539,32
Jim Hogg,12,0
Jim Wells,66,0
Johnson,314,4
Jones,604,0
Karnes,19,0
Kaufman,490,4
Kendall,58,0
Kenedy,0,0
Kent,0,0
Kerr,70,1
Kimble,2,0
King,0,0
Kinney,2,0
Kleberg,35,1
Knox,1,0
La Salle,8,0
Lamar,244,13
Lamb,33,0
Lampasas,19,0
Lavaca,117,1
Lee,55,3
Leon,20,0
Liberty,236,3
Limestone,43,1
Lipscomb,9,0
Live Oak,21,0
Llano,7,0
Loving,0,0
Lubbock,1795,51
Lynn,28,1
Madison,27,0
Marion,25,1
Martin,9,1
Mason,33,0
Matagorda,136,5
Maverick,290,2
McCulloch,8,0
McLennan,552,6
McMullen,0,0
Medina,256,2
Menard,3,0
Midland,494,14
Milam,78,1
Mills,1,0
Mitchell,4,0
Montague,17,1
Montgomery,1889,36
Moore,888,14
Morris,37,0
Motley,1,0
Nacogdoches,370,26
Navarro,177,5
Newton,12,0
Nolan,20,0
Nueces,1287,6
Ochiltree,53,2
Oldham,4,1
Orange,191,3
Palo Pinto,17,2
Panola,200,25
Parker,177,1
Parmer,184,5
Pecos,116,0
Polk,106,0
Potter,2854,39
Presidio,14,0
Rains,8,0
Randall,821,6
Reagan,3,0
Real,1,0
Red River,105,10
Reeves,19,0
Refugio,10,0
Roberts,3,0
Robertson,34,0
Rockwall,276,16
Runnels,5,0
Rusk,265,3
Sabine,21,1
San Augustine,103,7
San Jacinto,29,0
San Patricio,101,0
San Saba,4,0
Schleicher,12,0
Scurry,32,0
Shackelford,1,0
Shelby,266,9
Sherman,30,0
Smith,455,4
Somervell,5,0
Starr,407,3
Stephens,7,0
Sterling,0,0
Stonewall,0,0
Sutton,3,0
Swisher,28,1
Tarrant,10363,218
Taylor,327,5
Terrell,1,0
Terry,16,0
Throckmorton,0,0
Titus,677,4
Tom Green,228,1
Travis,7097,116
Trinity,28,0
Tyler,21,0
Upshur,46,0
Upton,2,0
Uvalde,58,1
Val Verde,108,0
Van Zandt,71,3
Victoria,372,8
Walker,1950,28
Waller,132,0
Ward,12,0
Washington,247,31
Webb,1101,23
Wharton,163,1
Wheeler,16,0
Wichita,270,2
Wilbarger,9,0
Willacy,125,3
Williamson,1702,32
Wilson,83,5
Winkler,12,0
Wise,88,5
Wood,78,5
Yoakum,21,0
Young,22,1
Zapata,42,0
Zavala,18,0
Total,137624,2324
