no,county,positive,fatalities
1,Anderson,29,0
2,Andrews,19,0
3,Angelina,53,0
4,Aransas,2,0
5,Armstrong,2,0
6,Atascosa,19,1
7,Austin,13,0
8,Bandera,6,0
9,Bastrop,73,2
10,Bee,6,0
11,Bell,189,3
12,Bexar,1326,46
13,Blanco,6,0
14,Bosque,4,0
15,Bowie,70,2
16,Brazoria,485,6
17,Brazos,193,16
18,Brooks,1,0
19,Brown,36,4
20,Burleson,12,0
21,Burnet,19,0
22,Caldwell,14,0
23,Calhoun,30,3
24,Callahan,2,0
25,Cameron,401,17
26,Camp,6,0
27,Carson,2,0
28,Cass,13,0
29,Castro,13,1
30,Chambers,41,0
31,Cherokee,14,1
32,Childress,1,0
33,Clay,3,0
34,Cochran,1,0
35,Collin,710,19
36,Colorado,10,0
37,Comal,54,6
38,Comanche,3,1
39,Concho,1,0
40,Cooke,7,0
41,Coryell,155,2
42,Cottle,2,0
43,Crane,2,0
44,Crosby,2,1
45,Dallam,10,1
46,Dallas,3352,99
47,Dawson,24,1
48,Deaf Smith,31,0
49,Delta,1,0
50,Denton,748,20
51,DeWitt,15,1
52,Dickens,1,0
53,Dimmit,1,0
54,Donley,24,0
55,Duval,2,0
56,Eastland,3,0
57,Ector,81,4
58,El Paso,887,18
59,Ellis,148,6
60,Erath,12,1
61,Falls,4,0
62,Fannin,18,0
63,Fayette,14,1
64,Floyd,3,0
65,Fort Bend,1018,24
66,Franklin,1,0
67,Freestone,3,0
68,Frio,7,0
69,Gaines,2,0
70,Galveston,572,24
71,Garza,1,0
72,Gillespie,1,0
73,Glasscock,1,0
74,Goliad,7,0
75,Gonzales,20,2
76,Gray,47,0
77,Grayson,31,0
78,Gregg,73,0
79,Grimes,19,1
80,Guadalupe,80,0
81,Hale,25,4
82,Hamilton,5,0
83,Hansford,6,0
84,Hardin,99,3
85,Harris,6161,109
86,Harrison,102,6
87,Hartley,4,0
88,Hays,165,1
89,Hemphill,1,0
90,Henderson,25,0
91,Hidalgo,324,6
92,Hill,16,1
93,Hockley,20,1
94,Hood,18,3
95,Hopkins,4,0
96,Houston,5,0
97,Howard,4,1
98,Hunt,44,2
99,Hutchinson,14,0
100,Jack,4,0
101,Jackson,6,0
102,Jasper,16,1
103,Jefferson,305,21
104,Jim Hogg,3,0
105,Jim Wells,3,0
106,Johnson,69,4
107,Jones,37,0
108,Karnes,3,0
109,Kaufman,86,1
110,Kendall,16,0
111,Kerr,5,0
112,Kleberg,8,1
113,Knox,1,0
114,La Salle,1,0
115,Lamar,51,0
116,Lamb,3,0
117,Lampasas,3,0
118,Lavaca,6,1
119,Lee,2,0
120,Leon,5,0
121,Liberty,42,0
122,Limestone,12,1
123,Lipscomb,2,0
124,Live Oak,5,0
125,Llano,3,0
126,Lubbock,516,43
127,Lynn,5,1
128,Madison,1,0
129,Marion,13,0
130,Martin,2,0
131,Mason,15,0
132,Matagorda,60,3
133,Maverick,16,0
134,McCulloch,3,0
135,McLennan,88,4
136,Medina,20,2
137,Midland,76,6
138,Milam,16,1
139,Mitchell,1,0
140,Montague,6,1
141,Montgomery,582,12
142,Moore,327,3
143,Morris,5,0
144,Motley,1,0
145,Nacogdoches,157,7
146,Navarro,30,2
147,Newton,2,0
148,Nolan,1,0
149,Nueces,99,3
150,Ochiltree,25,1
151,Oldham,3,1
152,Orange,70,1
153,Palo Pinto,7,1
154,Panola,107,3
155,Parker,30,0
156,Parmer,6,0
157,Pecos,9,0
158,Polk,19,0
159,Potter,499,8
160,Rains,2,0
161,Randall,213,3
162,Red River,1,0
163,Roberts,2,0
164,Robertson,3,0
165,Rockwall,75,1
166,Runnels,1,0
167,Rusk,35,1
168,Sabine,1,0
169,San Augustine,16,1
170,San Jacinto,9,0
171,San Patricio,12,0
172,Scurry,2,0
173,Shelby,106,4
174,Sherman,15,0
175,Smith,142,3
176,Starr,9,0
177,Stephens,1,0
178,Swisher,9,0
179,Tarrant,2149,61
180,Taylor,291,5
181,Terry,11,0
182,Titus,16,0
183,Tom Green,49,1
184,Travis,1591,44
185,Trinity,8,0
186,Tyler,6,0
187,Upshur,14,0
188,Uvalde,6,0
189,Val Verde,12,0
190,Van Zandt,14,1
191,Victoria,132,3
192,Walker,245,2
193,Waller,32,0
194,Washington,142,15
195,Webb,358,16
196,Wharton,37,0
197,Wheeler,7,0
198,Wichita,65,2
199,Wilbarger,1,0
200,Willacy,13,1
201,Williamson,293,8
202,Wilson,32,3
203,Winkler,3,0
204,Wise,17,2
205,Wood,8,0
206,Yoakum,1,0
207,Young,4,1
208,Zapata,7,0
209,Zavala,1,0
