county,positive,fatalities
Anderson,34,0
Andrews,21,0
Angelina,79,0
Aransas,2,0
Archer,0,0
Armstrong,2,0
Atascosa,19,1
Austin,13,0
Bailey,1,0
Bandera,6,0
Bastrop,98,2
Baylor,0,0
Bee,6,0
Bell,210,3
Bexar,1652,48
Blanco,6,0
Borden,0,0
Bosque,5,0
Bowie,79,2
Brazoria,566,7
Brazos,209,16
Brewster,1,0
Briscoe,1,0
Brooks,1,0
Brown,38,6
Burleson,14,0
Burnet,24,0
Caldwell,23,0
Calhoun,34,3
Callahan,2,0
Cameron,443,18
Camp,7,0
Carson,3,0
Cass,16,0
Castro,18,1
Chambers,45,0
Cherokee,19,1
Childress,1,0
Clay,3,0
Cochran,1,0
Coke,1,0
Coleman,1,0
Collin,804,22
Collingsworth,1,0
Colorado,10,0
Comal,58,6
Comanche,3,1
Concho,1,0
Cooke,9,0
Coryell,180,2
Cottle,3,0
Crane,2,0
Crockett,0,0
Crosby,2,1
Culberson,0,0
Dallam,10,0
Dallas,4370,114
Dawson,29,1
DeWitt,15,1
Deaf Smith,38,0
Delta,1,0
Denton,806,22
Dickens,1,0
Dimmit,1,0
Donley,25,0
Duval,3,0
Eastland,3,0
Ector,84,4
Edwards,0,0
El Paso,1029,22
Ellis,176,6
Erath,12,1
Falls,6,0
Fannin,20,0
Fayette,17,1
Fisher,0,0
Floyd,4,0
Foard,0,0
Fort Bend,1187,28
Franklin,2,0
Freestone,7,0
Frio,10,0
Gaines,3,0
Galveston,648,28
Garza,3,0
Gillespie,4,0
Glasscock,1,0
Goliad,7,0
Gonzales,31,2
Gray,68,0
Grayson,53,0
Gregg,97,0
Grimes,22,1
Guadalupe,87,0
Hale,29,4
Hall,0,0
Hamilton,5,0
Hansford,11,2
Hardeman,0,0
Hardin,112,3
Harris,6967,140
Harrison,149,6
Hartley,7,1
Haskell,0,0
Hays,176,1
Hemphill,1,0
Henderson,32,0
Hidalgo,353,7
Hill,18,1
Hockley,20,1
Hood,19,3
Hopkins,6,0
Houston,8,0
Howard,5,1
Hudspeth,0,0
Hunt,52,3
Hutchinson,19,0
Irion,0,0
Jack,4,0
Jackson,14,0
Jasper,18,1
Jeff Davis,0,0
Jefferson,333,23
Jim Hogg,3,0
Jim Wells,5,0
Johnson,87,4
Jones,78,0
Karnes,3,0
Kaufman,96,1
Kendall,17,0
Kenedy,0,0
Kent,0,0
Kerr,5,0
Kimble,0,0
King,0,0
Kinney,0,0
Kleberg,10,1
Knox,1,0
La Salle,1,0
Lamar,69,0
Lamb,4,0
Lampasas,5,0
Lavaca,6,1
Lee,2,0
Leon,7,0
Liberty,46,1
Limestone,13,1
Lipscomb,2,0
Live Oak,5,0
Llano,3,0
Loving,0,0
Lubbock,560,45
Lynn,5,1
Madison,1,0
Marion,15,0
Martin,3,1
Mason,26,0
Matagorda,62,3
Maverick,26,0
McCulloch,3,0
McLennan,91,4
McMullen,0,0
Medina,20,2
Menard,0,0
Midland,90,8
Milam,18,1
Mills,0,0
Mitchell,1,0
Montague,8,1
Montgomery,640,15
Moore,434,6
Morris,9,0
Motley,1,0
Nacogdoches,187,7
Navarro,31,2
Newton,2,0
Nolan,2,0
Nueces,113,3
Ochiltree,25,1
Oldham,3,1
Orange,77,2
Palo Pinto,8,1
Panola,135,3
Parker,40,0
Parmer,13,0
Pecos,13,0
Polk,30,0
Potter,876,9
Presidio,0,0
Rains,2,0
Randall,296,3
Reagan,0,0
Real,0,0
Red River,1,0
Reeves,0,0
Refugio,1,0
Roberts,2,0
Robertson,4,0
Rockwall,91,3
Runnels,2,0
Rusk,38,1
Sabine,1,0
San Augustine,19,1
San Jacinto,10,0
San Patricio,13,0
San Saba,0,0
Schleicher,0,0
Scurry,2,0
Shackelford,0,0
Shelby,129,4
Sherman,18,0
Smith,155,3
Somervell,0,0
Starr,10,0
Stephens,1,0
Sterling,0,0
Stonewall,0,0
Sutton,0,0
Swisher,10,0
Tarrant,2624,77
Taylor,356,5
Terrell,0,0
Terry,12,0
Throckmorton,0,0
Titus,21,0
Tom Green,56,1
Travis,1816,53
Trinity,9,0
Tyler,7,0
Upshur,15,0
Upton,0,0
Uvalde,6,0
Val Verde,13,0
Van Zandt,16,1
Victoria,143,5
Walker,293,2
Waller,33,0
Ward,0,0
Washington,147,18
Webb,396,17
Wharton,40,0
Wheeler,11,0
Wichita,68,2
Wilbarger,1,0
Willacy,13,1
Williamson,328,10
Wilson,34,3
Winkler,3,0
Wise,27,2
Wood,11,0
Yoakum,2,0
Young,4,1
Zapata,7,0
Zavala,1,0
Total,33369,906
