county,cases,fatalities
Anderson,2482,18
Andrews,362,8
Angelina,1968,65
Aransas,198,16
Archer,46,0
Armstrong,11,0
Atascosa,559,24
Austin,401,5
Bailey,199,4
Bandera,106,3
Bastrop,1571,25
Baylor,13,0
Bee,1496,22
Bell,4706,61
Bexar,37251,1046
Blanco,124,5
Borden,0,0
Bosque,209,5
Bowie,914,43
Brazoria,8981,131
Brazos,4481,54
Brewster,189,2
Briscoe,12,1
Brooks,199,16
Brown,462,19
Burleson,277,6
Burnet,637,12
Caldwell,1230,32
Calhoun,589,7
Callahan,64,3
Cameron,20617,712
Camp,289,8
Carson,17,0
Cass,249,9
Castro,221,4
Chambers,1123,5
Cherokee,1385,14
Childress,56,0
Clay,62,1
Cochran,37,1
Coke,48,3
Coleman,47,2
Collin,10785,108
Collingsworth,16,0
Colorado,422,3
Comal,2297,94
Comanche,209,3
Concho,46,0
Cooke,300,4
Coryell,850,10
Cottle,18,2
Crane,70,2
Crockett,162,5
Crosby,81,1
Culberson,22,2
Dallam,206,7
Dallas,69881,926
Dawson,200,8
DeWitt,817,25
Deaf Smith,790,19
Delta,17,0
Denton,9544,125
Dickens,17,1
Dimmit,176,6
Donley,54,1
Duval,234,10
Eastland,111,2
Ector,2758,61
Edwards,34,1
El Paso,19925,406
Ellis,3700,55
Erath,654,8
Falls,159,3
Fannin,581,11
Fayette,364,16
Fisher,52,1
Floyd,98,7
Foard,3,0
Fort Bend,14761,230
Franklin,107,4
Freestone,380,0
Frio,624,7
Gaines,244,6
Galveston,10430,136
Garza,102,3
Gillespie,198,6
Glasscock,6,0
Goliad,121,6
Gonzales,805,12
Gray,241,4
Grayson,1421,24
Gregg,1840,44
Grimes,982,29
Guadalupe,1885,71
Hale,1591,41
Hall,17,1
Hamilton,99,3
Hansford,101,3
Hardeman,22,0
Hardin,1206,19
Harris,101077,2140
Harrison,787,26
Hartley,99,0
Haskell,52,2
Hays,5322,55
Hemphill,53,0
Henderson,786,16
Hidalgo,26606,1061
Hill,367,8
Hockley,255,5
Hood,756,21
Hopkins,240,7
Houston,532,8
Howard,266,8
Hudspeth,37,2
Hunt,1392,27
Hutchinson,145,3
Irion,10,0
Jack,120,0
Jackson,495,14
Jasper,393,18
Jeff Davis,8,0
Jefferson,6586,106
Jim Hogg,75,2
Jim Wells,957,24
Johnson,2470,42
Jones,601,0
Karnes,734,11
Kaufman,2725,36
Kendall,196,4
Kenedy,7,1
Kent,7,0
Kerr,433,9
Kimble,16,1
King,0,0
Kinney,22,1
Kleberg,593,24
Knox,65,8
La Salle,366,3
Lamar,791,24
Lamb,273,19
Lampasas,150,5
Lavaca,674,29
Lee,193,13
Leon,178,4
Liberty,1670,42
Limestone,405,7
Lipscomb,23,0
Live Oak,330,6
Llano,101,1
Loving,0,0
Lubbock,7035,92
Lynn,77,4
Madison,834,5
Marion,139,10
Martin,70,5
Mason,68,0
Matagorda,895,38
Maverick,3248,78
McCulloch,85,1
McLennan,6008,79
McMullen,11,0
Medina,1103,35
Menard,20,0
Midland,3166,45
Milam,413,5
Mills,31,0
Mitchell,73,1
Montague,116,3
Montgomery,8515,119
Moore,1112,18
Morris,152,3
Motley,6,0
Nacogdoches,1318,48
Navarro,1058,14
Newton,162,6
Nolan,147,4
Nueces,14792,260
Ochiltree,105,3
Oldham,14,1
Orange,1817,35
Palo Pinto,416,11
Panola,309,20
Parker,1632,24
Parmer,381,7
Pecos,288,3
Polk,774,16
Potter,3981,46
Presidio,50,4
Rains,60,3
Randall,2125,27
Reagan,78,6
Real,102,5
Red River,144,14
Reeves,169,5
Refugio,254,10
Roberts,8,0
Robertson,247,4
Rockwall,1293,21
Runnels,185,3
Rusk,709,4
Sabine,72,6
San Augustine,186,12
San Jacinto,199,8
San Patricio,1226,57
San Saba,36,0
Schleicher,38,2
Scurry,542,2
Shackelford,22,0
Shelby,435,19
Sherman,53,0
Smith,3158,57
Somervell,117,3
Starr,2635,124
Stephens,110,3
Sterling,1,0
Stonewall,9,1
Sutton,76,2
Swisher,93,3
Tarrant,38451,590
Taylor,1260,33
Terrell,3,0
Terry,198,3
Throckmorton,4,2
Titus,1332,22
Tom Green,1989,48
Travis,26117,347
Trinity,173,5
Tyler,175,3
Upshur,319,6
Upton,18,1
Uvalde,670,17
Val Verde,1912,71
Van Zandt,511,14
Victoria,3755,75
Walker,3443,46
Waller,640,8
Ward,104,1
Washington,560,44
Webb,10417,172
Wharton,1169,41
Wheeler,41,0
Wichita,1252,14
Wilbarger,103,2
Willacy,822,42
Williamson,7820,119
Wilson,537,25
Winkler,90,1
Wise,630,12
Wood,394,14
Yoakum,142,4
Young,214,6
Zapata,247,4
Zavala,259,10
Unknown,0,7
Total,597737,12070
Probable cases are not included in the total case numbers,NA,NA
