date,x7_day_positivity_rate_by_specimen_collection_date,hospitalized,active,recovered,hosp_rate,state,fips
2020-05-09,NA,1735,16670,20141,10.41,Texas,48
2020-05-10,NA,1626,16759,21022,9.7,Texas,48
2020-05-11,NA,1525,17056,21713,8.94,Texas,48
2020-05-12,NA,1725,17241,22674,10.01,Texas,48
2020-05-13,NA,1676,17726,23519,9.46,Texas,48
2020-05-14,NA,1648,18148,24487,9.08,Texas,48
2020-05-15,NA,1716,18472,25454,9.29,Texas,48
2020-05-16,0.048309255353452055,1791,19093,26601,9.38,Texas,48
2020-05-17,0.049721692378052185,1512,18878,27570,8.01,Texas,48
2020-05-18,0.044720144337002575,1551,18975,28371,8.17,Texas,48
2020-05-19,0.06141438776146497,1732,19184,29359,9.03,Texas,48
2020-05-20,0.06375435988335525,1791,19563,30341,9.16,Texas,48
2020-05-21,0.06272916977194813,1680,19605,31223,8.57,Texas,48
2020-05-22,0.06239413188142771,1578,19692,32277,8.01,Texas,48
2020-05-23,NA,1688,19618,33385,8.6,Texas,48
2020-05-24,0.06084776456242208,1572,19499,34330,8.06,Texas,48
2020-05-25,0.05791133388972459,1511,19152,35292,7.89,Texas,48
2020-05-26,0.059799782897117355,1534,18649,36375,8.23,Texas,48
2020-05-27,0.06082760431809868,1645,18733,37626,8.78,Texas,48
2020-05-28,0.06176420965806839,1692,19270,38905,8.78,Texas,48
2020-05-29,0.06273316080833881,1701,19312,40068,8.81,Texas,48
2020-05-30,NA,1752,19039,41651,9.2,Texas,48
2020-05-31,0.060921482597497786,1684,20192,42423,8.34,Texas,48
2020-06-01,0.06297685790161447,1756,19864,43338,8.84,Texas,48
2020-06-02,0.06296427638209713,1773,20353,44517,8.71,Texas,48
2020-06-03,0.06270599290332533,1799,20679,45858,8.7,Texas,48
2020-06-04,0.06451032111124114,1796,21354,46799,8.41,Texas,48
2020-06-05,0.06671915634767256,1855,21960,47865,8.45,Texas,48
2020-06-06,0.06684087873085212,1822,22839,48895,7.98,Texas,48
2020-06-07,0.06838308219764287,1878,23390,49758,8.03,Texas,48
2020-06-08,0.06840310333103228,1935,23341,50439,8.29,Texas,48
2020-06-09,0.0729267316161751,2056,24260,51140,8.47,Texas,48
2020-06-10,0.08325676203753578,2153,25423,52449,8.47,Texas,48
2020-06-11,0.09395973154362416,2008,25567,54096,7.85,Texas,48
2020-06-12,0.10295385726031243,2166,26483,55258,8.18,Texas,48
2020-06-13,0.10993796056272391,2242,27519,56535,8.15,Texas,48
2020-06-14,0.11484890175055744,2287,27537,58341,8.31,Texas,48
2020-06-15,0.12503751214945735,2326,28036,59089,8.3,Texas,48
2020-06-16,0.13090045292393138,2518,30496,60681,8.26,Texas,48
