date,sheet,tsa,location,tsa_counties,pedi_vent_avail,pedi_vents_in_use,adult_vents_avail,adult_vents_in_use,total_vents_avail,total_vents_in_use,pedi_bi_pap_avail,pedi_bi_pap_in_use,adult_bi_pap_avail,adult_bi_pap_in_use,total_bi_pap_avail,total_bi_pap_in_use,total_anesthesia_vents_in_use,total_covid_on_vents,anesthsia_vents_avail
2020-06-22,Vent Availability,TSA-A,Amarillo,Armstrong,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Briscoe,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Carson,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Childress,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Collingsworth,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Dallam,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Deaf Smith,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Donley,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Gray,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Hall,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Hansford,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Hartley,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Hemphill,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Hutchinson,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Lipscomb,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
2020-06-22,Vent Availability,TSA-A,Amarillo,Moore,29,2,91,14,120,16,0,0,51,17,51,17,0,0,25
