date,sheet,tsa,location,pedi_vent_avail,pedi_vents_in_use,adult_vents_avail,adult_vents_in_use,total_vents_avail,total_vents_in_use,pedi_bi_pap_avail,pedi_bi_pap_in_use,adult_bi_pap_avail,adult_bi_pap_in_use,total_bi_pap_avail,total_bi_pap_in_use,total_anesthesia_vents_in_use,total_covid_on_vents,anesthsia_vents_avail
2020-05-12,Vent Availability,TSA-A,Amarillo,26,4,82,33,108,37,0,0,52,15,52,15,0,0,25
2020-05-12,Vent Availability,TSA-B,Lubbock,7,0,147,47,154,47,1,0,73,19,74,19,0,5,22
2020-05-12,Vent Availability,TSA-C,Witchita Falls,2,0,51,8,53,8,0,0,10,4,10,4,0,0,27
2020-05-12,Vent Availability,TSA-D,Abilene,9,0,52,10,61,10,0,0,20,3,20,3,0,0,29
2020-05-12,Vent Availability,TSA-E,Dallas/Ft. Worth,309,123,1004,657,1313,780,67,22,811,278,878,300,153,165,379
2020-05-12,Vent Availability,TSA-F,Paris,12,0,81,23,93,23,15,0,54,27,69,27,0,6,38
2020-05-12,Vent Availability,TSA-G,Longview/Tyler,72,6,163,68,235,74,27,0,154,47,181,47,1,17,24
2020-05-12,Vent Availability,TSA-H,Lufkin,31,5,75,16,106,21,0,0,47,12,47,12,0,4,22
2020-05-12,Vent Availability,TSA-I,El Paso,67,10,206,68,273,78,5,0,109,26,114,26,5,19,49
2020-05-12,Vent Availability,TSA-J,Midland/Odessa,36,4,174,14,210,18,17,0,43,18,60,18,0,0,34
2020-05-12,Vent Availability,TSA-K,San Angelo,4,0,42,0,46,0,0,0,0,0,0,0,0,0,3
2020-05-12,Vent Availability,TSA-L,Belton/Killeen,25,5,138,34,163,39,9,0,98,12,107,12,1,4,50
2020-05-12,Vent Availability,TSA-M,Waco,0,0,62,14,62,14,0,0,63,0,63,0,0,1,13
2020-05-12,Vent Availability,TSA-N,Bryan/College Station,7,0,44,12,51,12,2,0,29,3,31,3,0,2,28
2020-05-12,Vent Availability,TSA-O,Austin,87,30,302,101,389,131,12,0,172,54,184,54,26,16,132
2020-05-12,Vent Availability,TSA-P,San Antonio,73,45,820,636,893,681,14,6,312,252,326,258,19,25,183
2020-05-12,Vent Availability,TSA-Q,Houston,305,149,1004,547,1309,696,51,13,666,307,717,320,161,118,233
2020-05-12,Vent Availability,TSA-R,Galveston,33,5,170,79,203,84,10,39,122,44,132,83,34,16,126
2020-05-12,Vent Availability,TSA-S,Victoria,4,0,45,8,49,8,0,0,22,5,22,5,0,3,26
2020-05-12,Vent Availability,TSA-T,Laredo,21,0,54,24,75,24,5,5,33,12,38,17,0,7,6
2020-05-12,Vent Availability,TSA-U,Corpus Christi,60,9,111,25,171,34,5,0,96,41,101,41,0,1,16
2020-05-12,Vent Availability,TSA-V,Lower Rio Grande Valley,33,12,209,83,242,95,16,0,148,69,164,69,9,3,47
2020-05-12,Vent Availability,Total,Texas,1223,407,5036,2507,6259,2914,256,85,3134,1248,3390,1333,409,412,1512
2020-05-14,Vent Availability,TSA-A,Amarillo,26,3,80,36,106,39,0,0,56,12,56,12,0,0,25
2020-05-14,Vent Availability,TSA-B,Lubbock,10,0,149,45,159,45,1,0,71,14,72,14,0,5,25
2020-05-14,Vent Availability,TSA-C,Witchita Falls,2,0,51,8,53,8,0,0,10,4,10,4,0,0,29
2020-05-14,Vent Availability,TSA-D,Abilene,9,0,53,10,62,10,0,0,20,1,20,1,0,0,28
2020-05-14,Vent Availability,TSA-E,Dallas/Ft. Worth,302,133,1030,637,1332,770,70,19,807,298,877,317,164,168,346
2020-05-14,Vent Availability,TSA-F,Paris,12,0,81,24,93,24,14,0,54,26,68,26,0,5,38
2020-05-14,Vent Availability,TSA-G,Longview/Tyler,75,6,164,67,239,73,30,0,153,49,183,49,1,18,23
2020-05-14,Vent Availability,TSA-H,Lufkin,28,1,76,22,104,23,0,0,37,21,37,21,0,1,22
2020-05-14,Vent Availability,TSA-I,El Paso,68,19,207,69,275,88,5,1,110,35,115,36,3,20,50
2020-05-14,Vent Availability,TSA-J,Midland/Odessa,38,2,174,15,212,17,17,0,50,14,67,14,0,0,34
2020-05-14,Vent Availability,TSA-K,San Angelo,4,0,42,0,46,0,0,0,0,0,0,0,0,0,3
2020-05-14,Vent Availability,TSA-L,Belton/Killeen,20,7,151,50,171,57,5,0,111,25,116,25,0,5,27
2020-05-14,Vent Availability,TSA-M,Waco,0,0,58,17,58,17,0,0,59,2,59,2,0,0,12
2020-05-14,Vent Availability,TSA-N,Bryan/College Station,7,0,46,10,53,10,2,0,26,5,28,5,0,3,28
2020-05-14,Vent Availability,TSA-O,Austin,84,32,311,104,395,136,11,0,176,46,187,46,12,17,99
2020-05-14,Vent Availability,TSA-P,San Antonio,73,45,820,636,893,681,14,6,312,252,326,258,19,17,183
2020-05-14,Vent Availability,TSA-Q,Houston,306,123,966,544,1272,667,52,13,704,305,756,318,139,106,217
2020-05-14,Vent Availability,TSA-R,Galveston,38,7,187,80,225,87,15,3,152,43,167,46,13,18,71
2020-05-14,Vent Availability,TSA-S,Victoria,4,4,45,8,49,12,0,0,24,3,24,3,0,2,26
2020-05-14,Vent Availability,TSA-T,Laredo,21,0,58,29,79,29,10,3,34,7,44,10,0,7,8
