tsa,location,tsa_counties,adult_icu,general,picu,pedi,psych,neg_iso,available_beds,beds_occupied,total_beds,total_er_visits,hosp_absentee,covid19_er_visits,covid19_admitted_gen_24h,covid19_admitted_icu_24h,suspected_covid19_hosp,covid19_lab_con_gen,covid19_lab_con_icu,total_covid19_lab_con,tsa_label,public_health_region,GEOID,geometry
TSA-A,Amarillo,Armstrong,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48011,"list(list(c(-101.471562, -101.629257, -101.629396, -101.622941, -101.086281, -101.090749, -101.471562, 34.747462, 34.747649, 34.750056, 35.183117, 35.18214, 34.748246, 34.747462)))"
TSA-A,Amarillo,Briscoe,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48045,"list(list(c(-101.041484, -101.47158, -101.471562, -101.090749, -100.944939, -100.946132, -100.966896, -100.966969, -101.041484, 34.312444, 34.31229, 34.747462, 34.748246, 34.748281, 34.312759, 34.312711, 34.31264, 34.312444)))"
TSA-A,Amarillo,Carson,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48065,"list(list(c(-101.085935, -101.086281, -101.622941, -101.622993, -101.6228, -101.622831, -101.086068, -101.085935, 35.619102, 35.18214, 35.183117, 35.184339, 35.620196, 35.624057, 35.625267, 35.619102)))"
TSA-A,Amarillo,Childress,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48075,"list(list(c(-99.99772, -100.417783, -100.415895, -100.000381, -100.000381, -99.997853, -99.997508, -99.99772, 34.311829, 34.313524, 34.747525, 34.746358, 34.560509, 34.561485, 34.558017, 34.311829)))"
TSA-A,Amarillo,Collingsworth,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48087,"list(list(c(-100.000384, -100.000381, -100.000381, -100.415895, -100.540703, -100.540997, -100.538978, -100.000385, -100.000384, 35.030385, 34.746461, 34.746358, 34.747525, 34.747723, 34.750052, 35.183144, 35.182702, 35.030385)))"
TSA-A,Amarillo,Dallam,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48111,"list(list(c(-102.162463, -102.162771, -102.163015, -103.040824, -103.041674, -103.041745, -103.041669, -103.002434, -102.162463, 36.500326, 36.497902, 36.055249, 36.055231, 36.317534, 36.318267, 36.478514, 36.500397, 36.500326)))"
TSA-A,Amarillo,Deaf,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,NA,list()
TSA-A,Amarillo,Smith,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48423,"list(list(c(-94.985272, -95.459908, -95.488733, -95.449165, -95.5943, -95.594541, -95.47297, -95.332164, -95.167523, -95.15341, -94.986935, -94.986406, -94.985411, -94.985272, 32.137989, 32.135559, 32.232486, 32.355233, 32.479858, 32.687026, 32.606426, 32.604252, 32.543957, 32.570115, 32.537246, 32.371322, 32.37082, 32.137989)))"
TSA-A,Amarillo,Donley,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48129,"list(list(c(-100.538978, -100.540997, -100.540703, -100.944939, -101.090749, -101.086281, -100.538978, 35.183144, 34.750052, 34.747723, 34.748281, 34.748246, 35.18214, 35.183144)))"
TSA-A,Amarillo,Gray,67,356,14,71,36,28,572,286,858,162,4,25,12,3,47,11,6,17,Panhandle,1,48179,"list(list(c(-101.085935, -100.540158, -100.538978, -101.086281, -101.085935, 35.619102, 35.619296, 35.183144, 35.18214, 35.619102)))"
