county,date,value
Anderson,2020-08-07,1
Andrews,2020-08-07,0
Angelina,2020-08-07,3
Aransas,2020-08-07,0
Archer,2020-08-07,0
Armstrong,2020-08-07,0
Atascosa,2020-08-07,1
Austin,2020-08-07,2
Bailey,2020-08-07,0
Bandera,2020-08-07,3
Bastrop,2020-08-07,2
Baylor,2020-08-07,0
Bee,2020-08-07,1
Bell,2020-08-07,5
Bexar,2020-08-07,14
Blanco,2020-08-07,0
Borden,2020-08-07,0
Bosque,2020-08-07,1
Bowie,2020-08-07,0
Brazoria,2020-08-07,2
Brazos,2020-08-07,0
Brewster,2020-08-07,0
Briscoe,2020-08-07,0
Brooks,2020-08-07,0
Brown,2020-08-07,4
Burleson,2020-08-07,1
Burnet,2020-08-07,0
Caldwell,2020-08-07,1
Calhoun,2020-08-07,0
Callahan,2020-08-07,0
Cameron,2020-08-07,5
Camp,2020-08-07,0
Carson,2020-08-07,0
Cass,2020-08-07,2
Castro,2020-08-07,0
Chambers,2020-08-07,1
Cherokee,2020-08-07,4
Childress,2020-08-07,0
Clay,2020-08-07,0
Cochran,2020-08-07,0
Coke,2020-08-07,0
Coleman,2020-08-07,0
Collin,2020-08-07,5
Collingsworth,2020-08-07,0
Colorado,2020-08-07,0
Comal,2020-08-07,0
Comanche,2020-08-07,0
Concho,2020-08-07,0
Cooke,2020-08-07,0
Coryell,2020-08-07,0
Cottle,2020-08-07,0
Crane,2020-08-07,0
Crockett,2020-08-07,0
Crosby,2020-08-07,0
Culberson,2020-08-07,0
Dallam,2020-08-07,0
Dallas,2020-08-07,93
Dawson,2020-08-07,0
Deaf Smith,2020-08-07,0
Delta,2020-08-07,0
Denton,2020-08-07,4
DeWitt,2020-08-07,2
Dickens,2020-08-07,0
Dimmit,2020-08-07,1
Donley,2020-08-07,0
Duval,2020-08-07,0
Eastland,2020-08-07,0
Ector,2020-08-07,0
Edwards,2020-08-07,0
Ellis,2020-08-07,1
El Paso,2020-08-07,12
Erath,2020-08-07,0
