date,ili_from_syndromic_surveillance,cli_from_syndromic_surveillance
2020-04-12,466,488
2020-04-13,540,586
2020-04-14,496,544
2020-04-15,514,559
2020-04-16,478,522
2020-04-17,509,544
2020-04-18,425,468
2020-04-19,406,489
2020-04-20,473,489
2020-04-21,468,603
2020-04-22,467,535
2020-04-23,469,538
2020-04-24,446,485
2020-04-25,413,441
2020-04-26,390,426
2020-04-27,560,619
2020-04-28,478,522
2020-04-29,429,469
2020-04-30,444,504
2020-05-01,449,482
2020-05-02,364,434
2020-05-03,353,391
2020-05-04,427,474
2020-05-05,393,475
2020-05-06,357,431
2020-05-07,403,460
2020-05-08,350,389
2020-05-09,356,420
2020-05-10,334,392
2020-05-11,442,505
2020-05-12,389,415
2020-05-13,413,459
2020-05-14,360,418
2020-05-15,336,379
2020-05-16,316,336
2020-05-17,400,456
2020-05-18,400,494
2020-05-19,345,410
2020-05-20,360,404
2020-05-21,381,417
2020-05-22,351,467
2020-05-23,360,376
2020-05-24,331,345
2020-05-25,338,352
2020-05-26,352,382
2020-05-27,381,461
2020-05-28,387,446
2020-05-29,370,430
2020-05-30,297,349
2020-05-31,313,343
2020-06-01,339,393
2020-06-02,351,402
2020-06-03,326,349
2020-06-04,340,392
2020-06-05,332,404
2020-06-06,367,457
2020-06-07,380,435
2020-06-08,413,469
2020-06-09,453,455
2020-06-10,428,457
2020-06-11,526,555
2020-06-12,448,484
2020-06-13,476,453
2020-06-14,492,497
2020-06-15,608,575
2020-06-16,584,580
2020-06-17,748,728
2020-06-18,768,818
2020-06-19,802,770
2020-06-20,717,722
2020-06-21,740,716
2020-06-22,979,953
2020-06-23,905,894
2020-06-24,833,812
2020-06-25,711,775
2020-06-26,605,648
