date,series_id,value
2020-01-04,TXCCLAIMS,140768
2020-01-11,TXCCLAIMS,145126
2020-01-18,TXCCLAIMS,132656
2020-01-25,TXCCLAIMS,140826
2020-02-01,TXCCLAIMS,128666
2020-02-08,TXCCLAIMS,133475
2020-02-15,TXCCLAIMS,127275
2020-02-22,TXCCLAIMS,133247
2020-02-29,TXCCLAIMS,125252
2020-03-07,TXCCLAIMS,127905
2020-03-14,TXCCLAIMS,126427
2020-03-21,TXCCLAIMS,144697
2020-03-28,TXCCLAIMS,374656
2020-04-04,TXCCLAIMS,632470
2020-04-11,TXCCLAIMS,911923
2020-04-18,TXCCLAIMS,962122
2020-04-25,TXCCLAIMS,1133324
2020-05-02,TXCCLAIMS,1181609
2020-05-09,TXCCLAIMS,1300576
2020-05-16,TXCCLAIMS,1272557
2020-05-23,TXCCLAIMS,1401773
2020-05-30,TXCCLAIMS,1215507
2020-06-06,TXCCLAIMS,1297296
2020-06-13,TXCCLAIMS,1221813
