state,industry,date,variable,pct,prev_date,prev_day,change,change_lbl,color
TX,Beauty & Personal Care,2020-03-01,hours_worked,-14.5,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-01,hours_worked,2.1,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-01,hours_worked,1.2,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-01,hours_worked,1.4,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-01,hours_worked,-11.7,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-01,hours_worked,15.6,NA,NA,NA,,#FFD100
TX,Other,2020-03-01,hours_worked,6.6,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-01,hours_worked,20.3,NA,NA,NA,,#FFD100
TX,Retail,2020-03-01,hours_worked,-0.7,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-01,hours_worked,-4.2,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-01,locations_open,-17.8,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-01,locations_open,7,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-01,locations_open,-1.3,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-01,locations_open,-2.5,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-01,locations_open,-6.7,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-01,locations_open,5.7,NA,NA,NA,,#FFD100
TX,Other,2020-03-01,locations_open,-3.2,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-01,locations_open,-6.3,NA,NA,NA,,#FFD100
TX,Retail,2020-03-01,locations_open,-0.5,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-01,locations_open,13,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-01,employees_working,-8,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-01,employees_working,2.6,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-01,employees_working,0.1,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-01,employees_working,0.5,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-01,employees_working,-6.4,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-01,employees_working,9.6,NA,NA,NA,,#FFD100
