state,date,variable,pct,prev_date,prev_day,change,change_lbl,color
TX,2020-03-01,hours_worked,2,NA,NA,NA,,#FFD100
TX,2020-03-01,businesses_open,-0.8,NA,NA,NA,,#FFD100
TX,2020-03-01,employees_working,1,NA,NA,NA,,#FFD100
TX,2020-03-02,hours_worked,0.5,NA,NA,NA,,#FFD100
TX,2020-03-02,businesses_open,-1.5,NA,NA,NA,,#FFD100
TX,2020-03-02,employees_working,1.6,NA,NA,NA,,#FFD100
TX,2020-03-03,hours_worked,-0.4,NA,NA,NA,,#FFD100
TX,2020-03-03,businesses_open,-2.9,NA,NA,NA,,#FFD100
TX,2020-03-03,employees_working,-0.2,NA,NA,NA,,#FFD100
TX,2020-03-04,hours_worked,-2.1,NA,NA,NA,,#FFD100
TX,2020-03-04,businesses_open,-3.2,NA,NA,NA,,#FFD100
TX,2020-03-04,employees_working,-1.7,NA,NA,NA,,#FFD100
TX,2020-03-05,hours_worked,0,NA,NA,NA,,#FFD100
TX,2020-03-05,businesses_open,-2.6,NA,NA,NA,,#FFD100
TX,2020-03-05,employees_working,0.3,NA,NA,NA,,#FFD100
TX,2020-03-06,hours_worked,2,NA,NA,NA,,#FFD100
TX,2020-03-06,businesses_open,-2.4,NA,NA,NA,,#FFD100
TX,2020-03-06,employees_working,0.7,NA,NA,NA,,#FFD100
TX,2020-03-07,hours_worked,3.7,NA,NA,NA,,#FFD100
TX,2020-03-07,businesses_open,-1.2,NA,NA,NA,,#FFD100
TX,2020-03-07,employees_working,2.3,NA,NA,NA,,#FFD100
TX,2020-03-08,hours_worked,2.9,2,2020-03-01,0.8999999999999999,+,#66E8C6
TX,2020-03-08,businesses_open,-2,-0.8,2020-03-01,-1.2,,#F26852
TX,2020-03-08,employees_working,0.9,1,2020-03-01,-0.09999999999999998,,#F26852
TX,2020-03-09,hours_worked,-1.7,0.5,2020-03-02,-2.2,,#F26852
TX,2020-03-09,businesses_open,-3.5,-1.5,2020-03-02,-2,,#F26852
TX,2020-03-09,employees_working,-2,1.6,2020-03-02,-3.6,,#F26852
TX,2020-03-10,hours_worked,-1.9,-0.4,2020-03-03,-1.5,,#F26852
TX,2020-03-10,businesses_open,-3.5,-2.9,2020-03-03,-0.6000000000000001,,#F26852
