county,date,value
Anderson,2020-07-11,147
Anderson,2020-07-04,131
Anderson,2020-06-27,103
Anderson,2020-06-20,100
Anderson,2020-06-13,108
Anderson,2020-06-06,115
Anderson,2020-05-30,134
Anderson,2020-05-23,192
Anderson,2020-05-16,123
Anderson,2020-05-09,153
Andrews,2020-07-11,67
Andrews,2020-07-04,75
Andrews,2020-06-27,43
Andrews,2020-06-20,68
Andrews,2020-06-13,50
Andrews,2020-06-06,52
Andrews,2020-05-30,61
Andrews,2020-05-23,71
Andrews,2020-05-16,94
Andrews,2020-05-09,96
Angelina,2020-07-11,258
Angelina,2020-07-04,218
Angelina,2020-06-27,187
Angelina,2020-06-20,219
Angelina,2020-06-13,201
Angelina,2020-06-06,252
Angelina,2020-05-30,250
Angelina,2020-05-23,272
Angelina,2020-05-16,304
Angelina,2020-05-09,273
Aransas,2020-07-11,85
Aransas,2020-07-04,92
Aransas,2020-06-27,70
Aransas,2020-06-20,58
Aransas,2020-06-13,63
Aransas,2020-06-06,76
Aransas,2020-05-30,59
Aransas,2020-05-23,74
Aransas,2020-05-16,80
Aransas,2020-05-09,92
Archer,2020-07-11,13
Archer,2020-07-04,23
Archer,2020-06-27,13
Archer,2020-06-20,7
Archer,2020-06-13,11
Archer,2020-06-06,17
Archer,2020-05-30,12
Archer,2020-05-23,24
Archer,2020-05-16,23
Archer,2020-05-09,20
Armstrong,2020-07-11,3
Armstrong,2020-07-04,1
Armstrong,2020-06-27,NA
Armstrong,2020-06-20,3
Armstrong,2020-06-13,2
Armstrong,2020-06-06,1
Armstrong,2020-05-30,2
Armstrong,2020-05-23,2
Armstrong,2020-05-16,4
Armstrong,2020-05-09,2
Atascosa,2020-07-11,147
Atascosa,2020-07-04,149
Atascosa,2020-06-27,129
Atascosa,2020-06-20,127
Atascosa,2020-06-13,147
Atascosa,2020-06-06,133
Atascosa,2020-05-30,119
Atascosa,2020-05-23,172
Atascosa,2020-05-16,194
Atascosa,2020-05-09,190
Austin,2020-07-11,61
Austin,2020-07-04,89
Austin,2020-06-27,51
Austin,2020-06-20,56
Austin,2020-06-13,57
Austin,2020-06-06,49
Austin,2020-05-30,64
Austin,2020-05-23,85
Austin,2020-05-16,82
Austin,2020-05-09,72
Bailey,2020-07-11,8
Bailey,2020-07-04,10
Bailey,2020-06-27,6
Bailey,2020-06-20,6
Bailey,2020-06-13,3
Bailey,2020-06-06,5
Bailey,2020-05-30,5
Bailey,2020-05-23,6
Bailey,2020-05-16,6
Bailey,2020-05-09,5
Bandera,2020-07-11,44
Bandera,2020-07-04,47
Bandera,2020-06-27,39
Bandera,2020-06-20,34
Bandera,2020-06-13,34
