county,date,value
Anderson,2020-06-13,108
Anderson,2020-06-06,115
Anderson,2020-05-30,134
Anderson,2020-05-23,192
Anderson,2020-05-16,123
Anderson,2020-05-09,153
Anderson,2020-05-02,181
Anderson,2020-04-25,176
Anderson,2020-04-18,183
Anderson,2020-04-11,205
Andrews,2020-06-13,50
Andrews,2020-06-06,52
Andrews,2020-05-30,61
Andrews,2020-05-23,71
Andrews,2020-05-16,94
Andrews,2020-05-09,96
Andrews,2020-05-02,117
Andrews,2020-04-25,133
Andrews,2020-04-18,143
Andrews,2020-04-11,165
Angelina,2020-06-13,201
Angelina,2020-06-06,252
Angelina,2020-05-30,250
Angelina,2020-05-23,272
Angelina,2020-05-16,304
Angelina,2020-05-09,273
Angelina,2020-05-02,463
Angelina,2020-04-25,388
Angelina,2020-04-18,449
Angelina,2020-04-11,495
Aransas,2020-06-13,63
Aransas,2020-06-06,76
Aransas,2020-05-30,59
Aransas,2020-05-23,74
Aransas,2020-05-16,80
Aransas,2020-05-09,92
Aransas,2020-05-02,154
Aransas,2020-04-25,109
Aransas,2020-04-18,160
Aransas,2020-04-11,155
Archer,2020-06-13,11
Archer,2020-06-06,17
Archer,2020-05-30,12
Archer,2020-05-23,24
Archer,2020-05-16,23
Archer,2020-05-09,20
Archer,2020-05-02,32
Archer,2020-04-25,24
Archer,2020-04-18,41
Archer,2020-04-11,34
Armstrong,2020-06-13,2
Armstrong,2020-06-06,1
Armstrong,2020-05-30,2
Armstrong,2020-05-23,2
Armstrong,2020-05-16,4
Armstrong,2020-05-09,2
Armstrong,2020-05-02,5
Armstrong,2020-04-25,NA
Armstrong,2020-04-18,5
Armstrong,2020-04-11,15
Atascosa,2020-06-13,147
Atascosa,2020-06-06,133
Atascosa,2020-05-30,119
Atascosa,2020-05-23,172
Atascosa,2020-05-16,194
Atascosa,2020-05-09,190
Atascosa,2020-05-02,291
Atascosa,2020-04-25,265
Atascosa,2020-04-18,302
Atascosa,2020-04-11,346
Austin,2020-06-13,57
Austin,2020-06-06,49
Austin,2020-05-30,64
Austin,2020-05-23,85
Austin,2020-05-16,82
Austin,2020-05-09,72
Austin,2020-05-02,107
Austin,2020-04-25,114
Austin,2020-04-18,120
Austin,2020-04-11,122
Bailey,2020-06-13,3
Bailey,2020-06-06,5
Bailey,2020-05-30,5
Bailey,2020-05-23,6
Bailey,2020-05-16,6
Bailey,2020-05-09,5
Bailey,2020-05-02,8
Bailey,2020-04-25,10
Bailey,2020-04-18,13
Bailey,2020-04-11,10
Bandera,2020-06-13,34
Bandera,2020-06-06,27
Bandera,2020-05-30,37
Bandera,2020-05-23,54
Bandera,2020-05-16,46
Bandera,2020-05-09,53
Bandera,2020-05-02,71
Bandera,2020-04-25,82
Bandera,2020-04-18,80
Bandera,2020-04-11,81
Bastrop,2020-06-13,152
Bastrop,2020-06-06,193
Bastrop,2020-05-30,202
Bastrop,2020-05-23,230
Bastrop,2020-05-16,227
Bastrop,2020-05-09,264
Bastrop,2020-05-02,326
Bastrop,2020-04-25,354
Bastrop,2020-04-18,457
Bastrop,2020-04-11,458
Baylor,2020-06-13,5
Baylor,2020-06-06,6
Baylor,2020-05-30,4
Baylor,2020-05-23,2
Baylor,2020-05-16,6
Baylor,2020-05-09,8
Baylor,2020-05-02,4
Baylor,2020-04-25,5
Baylor,2020-04-18,7
Baylor,2020-04-11,4
Bee,2020-06-13,62
Bee,2020-06-06,75
Bee,2020-05-30,101
Bee,2020-05-23,118
Bee,2020-05-16,101
Bee,2020-05-09,105
Bee,2020-05-02,131
Bee,2020-04-25,121
Bee,2020-04-18,142
Bee,2020-04-11,115
Bell,2020-06-13,910
Bell,2020-06-06,970
Bell,2020-05-30,1047
Bell,2020-05-23,1114
Bell,2020-05-16,1024
Bell,2020-05-09,1145
Bell,2020-05-02,1550
Bell,2020-04-25,1378
Bell,2020-04-18,1808
Bell,2020-04-11,2237
Bexar,2020-06-13,4776
Bexar,2020-06-06,5416
Bexar,2020-05-30,5839
Bexar,2020-05-23,6948
Bexar,2020-05-16,7441
Bexar,2020-05-09,8404
Bexar,2020-05-02,10920
Bexar,2020-04-25,10281
Bexar,2020-04-18,14007
Bexar,2020-04-11,15718
Blanco,2020-06-13,20
Blanco,2020-06-06,13
Blanco,2020-05-30,25
Blanco,2020-05-23,25
Blanco,2020-05-16,20
Blanco,2020-05-09,36
Blanco,2020-05-02,38
Blanco,2020-04-25,42
Blanco,2020-04-18,49
Blanco,2020-04-11,36
Borden,2020-06-13,1
Borden,2020-06-06,1
Borden,2020-05-30,NA
Borden,2020-05-23,1
Borden,2020-05-16,NA
Borden,2020-05-09,NA
Borden,2020-05-02,1
Borden,2020-04-25,NA
Borden,2020-04-18,NA
Borden,2020-04-11,NA
Bosque,2020-06-13,30
Bosque,2020-06-06,33
Bosque,2020-05-30,24
Bosque,2020-05-23,30
Bosque,2020-05-16,42
Bosque,2020-05-09,38
Bosque,2020-05-02,45
Bosque,2020-04-25,52
Bosque,2020-04-18,82
Bosque,2020-04-11,78
Bowie,2020-06-13,198
Bowie,2020-06-06,232
Bowie,2020-05-30,253
Bowie,2020-05-23,241
Bowie,2020-05-16,266
Bowie,2020-05-09,293
Bowie,2020-05-02,372
Bowie,2020-04-25,367
Bowie,2020-04-18,550
Bowie,2020-04-11,564
Brazoria,2020-06-13,1030
Brazoria,2020-06-06,1185
Brazoria,2020-05-30,1156
Brazoria,2020-05-23,1348
Brazoria,2020-05-16,1532
Brazoria,2020-05-09,1684
Brazoria,2020-05-02,2201
Brazoria,2020-04-25,1927
Brazoria,2020-04-18,2577
Brazoria,2020-04-11,2606
Brazos,2020-06-13,411
Brazos,2020-06-06,467
Brazos,2020-05-30,527
Brazos,2020-05-23,587
Brazos,2020-05-16,589
Brazos,2020-05-09,692
Brazos,2020-05-02,868
Brazos,2020-04-25,789
Brazos,2020-04-18,1060
Brazos,2020-04-11,1155
Brewster,2020-06-13,7
Brewster,2020-06-06,13
Brewster,2020-05-30,15
Brewster,2020-05-23,17
Brewster,2020-05-16,22
Brewster,2020-05-09,31
Brewster,2020-05-02,33
Brewster,2020-04-25,27
Brewster,2020-04-18,43
Brewster,2020-04-11,61
Briscoe,2020-06-13,NA
Briscoe,2020-06-06,NA
Briscoe,2020-05-30,2
Briscoe,2020-05-23,1
Briscoe,2020-05-16,1
Briscoe,2020-05-09,1
Briscoe,2020-05-02,3
Briscoe,2020-04-25,NA
Briscoe,2020-04-18,5
Briscoe,2020-04-11,NA
Brooks,2020-06-13,19
Brooks,2020-06-06,21
Brooks,2020-05-30,22
Brooks,2020-05-23,29
Brooks,2020-05-16,15
Brooks,2020-05-09,45
Brooks,2020-05-02,33
Brooks,2020-04-25,34
Brooks,2020-04-18,53
Brooks,2020-04-11,37
Brown,2020-06-13,69
Brown,2020-06-06,82
Brown,2020-05-30,97
Brown,2020-05-23,96
Brown,2020-05-16,105
Brown,2020-05-09,128
Brown,2020-05-02,140
Brown,2020-04-25,92
Brown,2020-04-18,127
Brown,2020-04-11,158
Burleson,2020-06-13,32
Burleson,2020-06-06,45
Burleson,2020-05-30,41
Burleson,2020-05-23,44
Burleson,2020-05-16,39
Burleson,2020-05-09,61
Burleson,2020-05-02,75
Burleson,2020-04-25,62
Burleson,2020-04-18,49
Burleson,2020-04-11,61
Burnet,2020-06-13,63
Burnet,2020-06-06,90
Burnet,2020-05-30,72
Burnet,2020-05-23,93
Burnet,2020-05-16,106
Burnet,2020-05-09,112
Burnet,2020-05-02,145
Burnet,2020-04-25,124
Burnet,2020-04-18,182
Burnet,2020-04-11,288
Caldwell,2020-06-13,76
Caldwell,2020-06-06,84
Caldwell,2020-05-30,103
Caldwell,2020-05-23,114
Caldwell,2020-05-16,100
Caldwell,2020-05-09,130
Caldwell,2020-05-02,161
Caldwell,2020-04-25,157
Caldwell,2020-04-18,228
Caldwell,2020-04-11,220
Calhoun,2020-06-13,45
Calhoun,2020-06-06,47
Calhoun,2020-05-30,59
Calhoun,2020-05-23,67
Calhoun,2020-05-16,52
Calhoun,2020-05-09,54
Calhoun,2020-05-02,95
Calhoun,2020-04-25,87
Calhoun,2020-04-18,115
Calhoun,2020-04-11,94
Callahan,2020-06-13,18
Callahan,2020-06-06,25
Callahan,2020-05-30,32
Callahan,2020-05-23,25
Callahan,2020-05-16,25
Callahan,2020-05-09,37
Callahan,2020-05-02,52
Callahan,2020-04-25,36
Callahan,2020-04-18,39
Callahan,2020-04-11,53
Cameron,2020-06-13,1057
Cameron,2020-06-06,1334
Cameron,2020-05-30,1562
Cameron,2020-05-23,1552
Cameron,2020-05-16,1452
Cameron,2020-05-09,1675
Cameron,2020-05-02,2049
Cameron,2020-04-25,2178
Cameron,2020-04-18,2971
Cameron,2020-04-11,3116
Camp,2020-06-13,27
Camp,2020-06-06,45
Camp,2020-05-30,56
Camp,2020-05-23,41
Camp,2020-05-16,39
Camp,2020-05-09,48
Camp,2020-05-02,38
Camp,2020-04-25,46
Camp,2020-04-18,52
Camp,2020-04-11,61
Carson,2020-06-13,6
Carson,2020-06-06,6
Carson,2020-05-30,7
Carson,2020-05-23,14
Carson,2020-05-16,14
Carson,2020-05-09,11
Carson,2020-05-02,13
Carson,2020-04-25,10
Carson,2020-04-18,14
Carson,2020-04-11,25
Cass,2020-06-13,75
Cass,2020-06-06,94
Cass,2020-05-30,95
Cass,2020-05-23,100
Cass,2020-05-16,74
Cass,2020-05-09,80
Cass,2020-05-02,124
Cass,2020-04-25,134
Cass,2020-04-18,133
Cass,2020-04-11,152
Castro,2020-06-13,2
Castro,2020-06-06,9
Castro,2020-05-30,5
Castro,2020-05-23,9
Castro,2020-05-16,10
Castro,2020-05-09,9
Castro,2020-05-02,13
Castro,2020-04-25,6
Castro,2020-04-18,11
Castro,2020-04-11,5
Chambers,2020-06-13,106
Chambers,2020-06-06,155
Chambers,2020-05-30,125
Chambers,2020-05-23,151
Chambers,2020-05-16,161
Chambers,2020-05-09,218
Chambers,2020-05-02,244
Chambers,2020-04-25,197
Chambers,2020-04-18,325
Chambers,2020-04-11,301
Cherokee,2020-06-13,126
Cherokee,2020-06-06,101
Cherokee,2020-05-30,138
Cherokee,2020-05-23,164
Cherokee,2020-05-16,141
Cherokee,2020-05-09,179
Cherokee,2020-05-02,180
Cherokee,2020-04-25,190
Cherokee,2020-04-18,244
Cherokee,2020-04-11,251
Childress,2020-06-13,6
Childress,2020-06-06,8
Childress,2020-05-30,7
