state,date,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,proj_date
Texas,2020-02-06,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-07,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-08,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-09,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-10,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-11,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-12,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-13,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-14,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-15,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-16,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-17,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-18,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-19,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-20,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-21,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-22,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-23,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-24,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-25,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-26,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-27,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-28,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-02-29,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-01,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-02,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-03,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-04,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-05,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-06,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-07,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-08,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-09,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-10,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-11,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-12,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-13,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-14,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-15,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-16,0,0,0,0,0,0,Mar 25th Projection
Texas,2020-03-17,1,1,1,1,1,1,Mar 25th Projection
Texas,2020-03-18,2,2,2,3,3,3,Mar 25th Projection
Texas,2020-03-19,2,2,2,5,5,5,Mar 25th Projection
Texas,2020-03-20,0,0,0,5,5,5,Mar 25th Projection
Texas,2020-03-21,0,0,0,5,5,5,Mar 25th Projection
Texas,2020-03-22,2,2,2,7,7,7,Mar 25th Projection
